driverid |   forename    |         surname         | races
618      | Herbert       | MacKay-Fraser           | 1
621      | Paul          | England                 | 1
634      | Piero         | Scotti                  | 1
635      | Colin         | Chapman                 | 1
636      | Desmond       | Titterington            | 1
637      | Archie        | Scott Brown             | 1
639      | André         | Milhoux                 | 1
646      | Jesús         | Iglesias                | 1
652      | Ted           | Whiteaway               | 1
668      | Jean          | Lucas                   | 1
671      | Roger         | Loyer                   | 1
678      | Len           | Duncan                  | 1
684      | Bill          | Whitehouse              | 1
685      | John          | Riseley-Prichard        | 1
694      | Giovanni      | de Riu                  | 1
698      | Adolfo        | Cruz                    | 1
706      | Jimmy         | Stewart                 | 1
707      | Ian           | Stewart                 | 1
711      | Oswald        | Karch                   | 1
713      | Theo          | Fitzau                  | 1
714      | Kurt          | Adolff                  | 1
716      | Erwin         | Bauer                   | 1
718      | Ernst         | Loof                    | 1
739      | Robin         | Montgomerie-Charrington | 1
750      | Adolf         | Brudes                  | 1
754      | Marcel        | Balsa                   | 1
755      | Rudolf        | Schoeller               | 1
757      | Josef         | Peters                  | 1
758      | Dries         | van der Lof             | 1
760      | Piero         | Dusio                   | 1
761      | Alberto       | Crespo                  | 1
769      | Bill          | Mackey                  | 1
775      | Aldo          | Gordini                 | 1
777      | Philip        | Fotheringham-Parker     | 1
779      | John          | James                   | 1
781      | Ken           | Richardson              | 1
782      | Juan          | Jover                   | 1
783      | Georges       | Grignard                | 1
790      | Leslie        | Johnson                 | 1
791      | Clemente      | Biondetti               | 1
792      | Alfredo       | Pián                    | 1
798      | Bayliss       | Levrett                 | 1
803      | Bill          | Cantrell                | 1
805      | Danny         | Kladis                  | 1
827      | André         | Lotterer                | 1
